timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/10/19 11:19:16.567, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:16.568, 1, Tesla M2050, 100 %, 8 %, 267 MiB
2025/10/19 11:19:16.568, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:16.569, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:16.569, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:16.570, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:16.570, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:16.571, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:17.571, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:17.572, 1, Tesla M2050, 100 %, 8 %, 267 MiB
2025/10/19 11:19:17.572, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:17.573, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:17.573, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:17.573, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:17.574, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:17.574, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:18.575, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:18.575, 1, Tesla M2050, 100 %, 7 %, 267 MiB
2025/10/19 11:19:18.576, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:18.576, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:18.577, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:18.577, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:18.578, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:18.578, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:19.579, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:19.579, 1, Tesla M2050, 100 %, 7 %, 267 MiB
2025/10/19 11:19:19.580, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:19.580, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:19.581, 4, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:19.581, 5, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:19.581, 6, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:19.582, 7, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:20.582, 0, Tesla M2050, 0 %, 0 %, 0 MiB
2025/10/19 11:19:20.583, 1, Tesla M2050, 100 %, 7 %, 267 MiB
2025/10/19 11:19:20.583, 2, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:20.584, 3, Tesla M2050, 0 %, 0 %, 216 MiB
2025/10/19 11:19:20.584, 4, Tesla M2050, 0 %, 0 %, 216 MiB
